region_name,school_count,student_count,male_students,female_students,class_count,teacher_count,avg_students_per_school,avg_students_per_class,students_per_teacher,population,academy_count,academy_capacity,pension_avg_income,academy_per_1000_students,schools_per_100k_population,high_school_students_per_1000_population,male_share,female_share,source_scope
경기도 군포시,8,6168.0,3306.0,2862.0,266.0,525,771.0,23.18796992481203,11.748571428571429,250701,688,23579,1476776,111.54345006485084,3.191052289380577,24.603013151124248,0.5359922178988327,0.46400778210116733,2025 high schools only for school-level metrics
경기도 김포시,16,13716.0,7021.0,6695.0,463.0,899,857.25,29.624190064794817,15.256952169076753,484614,1773,107292,1538593,129.26509186351706,3.301596734720829,28.30293800839431,0.5118839311752698,0.48811606882473024,2025 high schools only for school-level metrics
경기도 남양주시,21,20160.0,10302.0,9858.0,720.0,1392,960.0,28.0,14.482758620689655,729142,2050,115579,1514915,101.68650793650794,2.8800974295816175,27.64893532398353,0.5110119047619047,0.4889880952380952,2025 high schools only for school-level metrics
경기도 동두천시,6,2659.0,1252.0,1407.0,117.0,240,443.1666666666667,22.726495726495727,11.079166666666667,86299,120,8506,1401656,45.12974802557353,6.9525718722117285,30.81148101368498,0.47085370440015045,0.5291462955998496,2025 high schools only for school-level metrics
경기도 부천시,28,17735.0,8990.0,8745.0,770.0,1514,633.3928571428571,23.032467532467532,11.714002642007927,148890,2068,123355,1171429,116.60558218212574,18.805829807240244,119.11478272550205,0.5069072455596279,0.49309275444037215,2025 high schools only for school-level metrics
경기도 성남시,36,24073.0,12047.0,12026.0,1025.0,2055,668.6944444444445,23.485853658536584,11.714355231143552,469435,3290,101197335,1522656,136.66763594068044,7.668793336670679,51.28079499824257,0.5004361733061936,0.49956382669380633,2025 high schools only for school-level metrics
경기도 수원시,45,33812.0,17966.0,15846.0,1402.0,2849,751.3777777777777,24.1169757489301,11.868023868023869,362132,3647,141123,1459103,107.86111439725542,12.426408050103278,93.3692686644649,0.531349816633148,0.468650183366852,2025 high schools only for school-level metrics
경기도 시흥시,17,14226.0,7473.0,6753.0,525.0,1036,836.8235294117648,27.097142857142856,13.731660231660232,514384,1450,79158,1544444,101.92605089273161,3.304923947867741,27.65638122492146,0.5253057781526782,0.4746942218473218,2025 high schools only for school-level metrics
경기도 안산시,24,18165.0,9484.0,8681.0,797.0,1579,756.875,22.79171894604768,11.504116529449018,289296,1216,61823,1454377,66.9419212771814,8.296001327360212,62.79036004645761,0.5221029452243325,0.4778970547756675,2025 high schools only for school-level metrics
경기도 안성시,9,4912.0,2524.0,2388.0,181.0,368,545.7777777777778,27.138121546961326,13.347826086956522,196871,344,16932,1457287,70.03257328990229,4.571521453134285,24.95034819755068,0.5138436482084691,0.48615635179153094,2025 high schools only for school-level metrics
경기도 안양시,21,15321.0,7821.0,7500.0,659.0,1325,729.5714285714286,23.24886191198786,11.563018867924528,329815,1806,99022,1492805,117.87742314470334,6.367205857829389,46.45331473704955,0.5104758175053847,0.4895241824946152,2025 high schools only for school-level metrics
경기도 양주시,8,6422.0,3176.0,3246.0,226.0,447,802.75,28.41592920353982,14.3668903803132,296740,595,40337,1464956,92.65026471504206,2.6959627957134193,21.641841342589473,0.49454998442852693,0.5054500155714731,2025 high schools only for school-level metrics
경기도 양평군,8,2879.0,1415.0,1464.0,124.0,254,359.875,23.217741935483872,11.334645669291339,126830,235,8653,1507859,81.62556443209448,6.307655917369707,22.699676732634238,0.49149010072941995,0.5085098992705801,2025 high schools only for school-level metrics
경기도 여주시,9,2801.0,1542.0,1259.0,122.0,278,311.22222222222223,22.959016393442624,10.075539568345324,113735,164,8868,1481670,58.5505176722599,7.913131401943113,24.627423396491846,0.5505176722599072,0.44948232774009284,2025 high schools only for school-level metrics
경기도 연천군,2,703.0,389.0,314.0,40.0,85,351.5,17.575,8.270588235294118,42578,35,2089,1397143,49.786628733997155,4.697261496547513,16.51087416036451,0.5533428165007113,0.4466571834992888,2025 high schools only for school-level metrics
경기도 오산시,8,7237.0,3621.0,3616.0,239.0,468,904.625,30.280334728033473,15.463675213675213,250518,553,22503,1472635,76.41287826447423,3.1933833097821314,28.888143766116606,0.5003454470084289,0.4996545529915711,2025 high schools only for school-level metrics
경기도 용인시,32,29834.0,15451.0,14383.0,1019.0,1994,932.3125,29.277723258096174,14.961885656970912,373308,3415,120458,1553357,114.46671582757926,8.57201024355224,79.91792300191798,0.5178990413622042,0.4821009586377958,2025 high schools only for school-level metrics
경기도 의왕시,6,3383.0,1636.0,1747.0,144.0,295,563.8333333333334,23.493055555555557,11.467796610169492,161183,334,8599,1541272,98.72893881170558,3.722476936153316,20.988565791677782,0.4835944428022465,0.5164055571977535,2025 high schools only for school-level metrics
경기도 의정부시,16,11186.0,6046.0,5140.0,481.0,976,699.125,23.255717255717254,11.461065573770492,461581,1161,57286,1403650,103.79045235115322,3.4663471850011156,24.234099757139052,0.5404970498837833,0.4595029501162167,2025 high schools only for school-level metrics
경기도 이천시,12,6018.0,3030.0,2988.0,259.0,534,501.5,23.235521235521237,11.269662921348315,222906,581,32627,1516784,96.54370222665337,5.383435169981966,26.997927377459558,0.5034895314057827,0.4965104685942173,2025 high schools only for school-level metrics
경기도 파주시,19,13958.0,6877.0,7081.0,522.0,1027,734.6315789473684,26.739463601532567,13.591041869522883,528614,1313,72305,1478961,94.06791803983378,3.5943051073183834,26.404900362078944,0.4926923628026938,0.5073076371973062,2025 high schools only for school-level metrics
경기도 평택시,21,16460.0,8678.0,7782.0,590.0,1181,783.8095238095239,27.89830508474576,13.937341236240474,613456,1335,42354,1457901,81.10571081409478,3.4232283977987015,26.83159020369839,0.5272174969623329,0.47278250303766706,2025 high schools only for school-level metrics
경기도 포천시,7,3051.0,1678.0,1373.0,161.0,319,435.85714285714283,18.950310559006212,9.564263322884013,140355,150,7498,1501569,49.164208456243855,4.987353496491041,21.737736453991666,0.5499836119305146,0.4500163880694854,2025 high schools only for school-level metrics
경기도 하남시,10,7627.0,3759.0,3868.0,279.0,567,762.7,27.336917562724015,13.451499118165785,327740,1070,61011,1562638,140.2910711944408,3.051199121254653,23.27149569780924,0.49285433328962897,0.5071456667103711,2025 high schools only for school-level metrics
경기도 화성시,32,26837.0,13231.0,13606.0,864.0,1705,838.65625,31.06134259259259,15.740175953079179,425467,3427,139618,1552935,127.69683645713009,7.521147351028399,63.07657233110911,0.49301337705406717,0.5069866229459329,2025 high schools only for school-level metrics
경상남도 거제시,10,7679.0,4021.0,3658.0,306.0,584,767.9,25.094771241830067,13.148972602739725,230117,558,26469,1315774,72.66571168120849,4.345615491250103,33.36998135730954,0.5236358900898554,0.47636410991014455,2025 high schools only for school-level metrics
경상남도 거창군,7,2148.0,1261.0,887.0,105.0,209,306.85714285714283,20.457142857142856,10.277511961722489,58737,135,5249,1379363,62.849162011173185,11.917530687641522,36.56979416721998,0.5870577281191807,0.4129422718808194,2025 high schools only for school-level metrics
